Date,Site,Biomass,Fencing,N,Ca,K,Mg,P,S,Cu,Zn,Mn,Fe,B
8/1/2020,DF,MME,Herbivore exclusion,1.464,0.34,1.237,0.086,0.108,0.066,3.858,31.171,43.7,48.557,9.972
5/4/2021,DF,MME,Herbivore exclusion,2.067,0.641,2.665,0.111,0.423,0.182,6.836,32.326,53.825,70.267,7.165
8/1/2020,DF,Single carcass,Herbivore exclusion,0.971,0.535,1.047,0.09,0.081,0.068,3.039,21.648,48.644,52.283,6.824
5/4/2021,DF,Single carcass,Herbivore exclusion,2.117,0.596,2.335,0.083,0.312,0.121,7.257,19.356,31.258,66.266,7.465
8/1/2020,DF,MME,Open control,1.039,0.473,0.691,0.096,0.076,0.056,2.388,25.8,43.571,52.932,12.624
5/4/2021,DF,MME,Open control,1.849,0.694,1.697,0.111,0.25,0.116,8.476,24.821,37.029,62.846,7.453
8/1/2020,DF,Single carcass,Open control,1.032,0.442,1.129,0.088,0.072,0.061,3.38,39.717,84.502,55.833,14.239
5/4/2021,DF,Single carcass,Open control,1.539,0.518,1.134,0.091,0.116,0.087,7.834,23.514,61.733,64.293,8.407
8/1/2020,DF,Reference,Reference,0.892,0.409,0.588,0.08,0.053,0.052,2.92,32.969,47.699,68.065,12.66
5/4/2021,DF,Reference,Reference,1.417,0.616,0.793,0.111,0.088,0.063,8.249,50.519,26.001,71.999,19.381
8/1/2020,DF,MME,Scavenger exclusion,2.325,3.392,2.66,0.497,0.175,0.504,3.038,55.406,104.008,58.234,88.788
5/4/2021,DF,MME,Scavenger exclusion,2.054,0.392,1.819,0.133,0.288,0.143,7.457,20.58,174.942,68.001,5.33
8/1/2020,DF,Single carcass,Scavenger exclusion,0.822,0.422,0.85,0.083,0.06,0.05,1.801,26.425,39.114,45.5,7.538
5/4/2021,DF,Single carcass,Scavenger exclusion,2.102,0.616,1.593,0.095,0.221,0.118,8.193,22.374,25.395,72.617,8.06
8/1/2020,GG,MME,Herbivore exclusion,1.508,0.492,1.271,0.134,0.111,0.079,4.988,44.373,92.183,58.493,12.879
5/4/2021,GG,MME,Herbivore exclusion,1.723,0.474,1.937,0.137,0.241,0.148,6.536,26.869,145.197,64.688,4.897
8/1/2020,GG,Single carcass,Herbivore exclusion,1.095,0.442,0.96,0.102,0.088,0.061,3.743,32.309,103.104,62.352,17.211
5/4/2021,GG,Single carcass,Herbivore exclusion,1.438,0.422,1.487,0.096,0.214,0.107,6.186,19.302,91.961,52.715,6.103
8/1/2020,GG,MME,Open control,1.471,0.432,1.08,0.126,0.122,0.076,4.269,21.037,65.064,52.204,13.442
5/4/2021,GG,MME,Open control,2.385,0.432,1.524,0.128,0.193,0.115,6.832,20.625,141.072,58.158,6.497
8/1/2020,GG,Single carcass,Open control,0.862,0.36,0.613,0.068,0.06,0.061,3.062,37.472,55.322,58.592,12.467
5/4/2021,GG,Single carcass,Open control,1.324,0.364,1.238,0.078,0.096,0.101,6.979,25.545,45.322,59.608,5.429
8/1/2020,GG,Reference,Reference,1.006,0.427,0.721,0.108,0.065,0.067,3.221,35.83,38.804,64.322,12.139
5/4/2021,GG,Reference,Reference,1.679,0.41,0.615,0.068,0.07,0.068,7.238,43.802,25.471,82.922,13.545
8/1/2020,GG,MME,Scavenger exclusion,1.253,0.406,1.076,0.101,0.128,0.064,2.89,29.229,59.335,63.049,12.896
5/4/2021,GG,MME,Scavenger exclusion,1.156,0.495,1.465,0.09,0.251,0.128,6.604,16.352,36.607,57.701,7.872
8/1/2020,GG,Single carcass,Scavenger exclusion,0.925,0.369,0.693,0.078,0.061,0.056,3.072,24.248,89.923,55.351,9.022
5/4/2021,GG,Single carcass,Scavenger exclusion,1.484,0.606,1.391,0.1,0.156,0.114,6.371,18.617,64.754,54.902,7.717
8/1/2020,OS,MME,Herbivore exclusion,1.534,0.284,1.303,0.11,0.12,0.098,6.31,30.596,69.621,51.41,5.615
5/4/2021,OS,MME,Herbivore exclusion,1.322,0.363,1.876,0.113,0.213,0.136,7.904,21.395,85.997,63.106,5.527
8/1/2020,OS,Single carcass,Herbivore exclusion,0.952,0.469,0.765,0.076,0.06,0.05,3.332,42.759,60.387,46.006,17.484
5/4/2021,OS,Single carcass,Herbivore exclusion,1.442,0.481,1.086,0.081,0.107,0.086,6.991,29.038,55.132,57.311,13.725
8/1/2020,OS,MME,Open control,1.173,0.385,1.068,0.093,0.115,0.065,3.805,23.346,79.3,58.395,9.789
5/4/2021,OS,MME,Open control,2.355,0.625,2.384,0.118,0.434,0.178,9.178,25.034,113.364,73.298,8.208
8/1/2020,OS,Single carcass,Open control,1.146,0.327,1.015,0.089,0.07,0.066,3.248,35.935,64.781,44.342,8.312
5/4/2021,OS,Single carcass,Open control,1.53,0.509,1.032,0.091,0.124,0.082,6.116,24.935,71.596,68.887,16.026
8/1/2020,OS,Reference,Reference,1.128,0.328,0.887,0.086,0.061,0.061,5.802,37.551,53.125,47.397,9.056
5/4/2021,OS,Reference,Reference,1.453,0.445,1.325,0.08,0.096,0.093,7.334,36.417,49.42,58.149,8.546
8/1/2020,OS,MME,Scavenger exclusion,0.924,0.352,0.764,0.079,0.074,0.049,2.935,38.194,39.734,48.119,14.493
5/4/2021,OS,MME,Scavenger exclusion,1.882,0.567,2.065,0.125,0.281,0.191,8.929,28.869,107.107,65.828,10.046
8/1/2020,OS,Single carcass,Scavenger exclusion,0.97,0.359,0.917,0.079,0.07,0.059,4.498,35.626,45.738,40.874,8.673
5/4/2021,OS,Single carcass,Scavenger exclusion,1.23,0.461,1.53,0.105,0.224,0.126,7.849,24.482,84.234,65.457,10.576
8/1/2020,WP,MME,Herbivore exclusion,1.116,0.401,1.429,0.128,0.112,0.081,2.89,28.089,66.449,51.975,4.89
5/4/2021,WP,MME,Herbivore exclusion,2.054,0.478,1.687,0.1,0.265,0.131,7.573,22.783,40.05,56.649,8.395
8/1/2020,WP,Single carcass,Herbivore exclusion,1.191,0.647,0.945,0.109,0.078,0.077,3.162,39.601,42.129,54.105,21.514
5/4/2021,WP,Single carcass,Herbivore exclusion,1.361,0.399,1.379,0.085,0.216,0.11,6.362,21.503,155.01,55.293,6.249
8/1/2020,WP,MME,Open control,1.196,0.527,1.061,0.089,0.133,0.067,2.871,29.347,30.737,56.177,16.186
5/4/2021,WP,MME,Open control,1.888,0.534,1.787,0.102,0.285,0.135,7.429,26.146,31.03,60.59,8.541
8/1/2020,WP,Single carcass,Open control,0.878,0.415,0.572,0.07,0.058,0.05,3.088,24.884,26.587,67.177,16.203
5/4/2021,WP,Single carcass,Open control,1.785,0.475,1.279,0.082,0.148,0.112,6.926,21.427,30.053,62.178,7.634
8/1/2020,WP,Reference,Reference,1.067,0.366,0.793,0.081,0.081,0.052,3.314,30.516,79.845,46.071,12.237
5/4/2021,WP,Reference,Reference,1.517,0.503,1.353,0.116,0.177,0.099,6.574,27.427,50.057,57.486,7.322
8/1/2020,WP,MME,Scavenger exclusion,1.2,0.554,0.842,0.081,0.099,0.055,3.458,31.541,36.251,48.436,21.071
5/4/2021,WP,MME,Scavenger exclusion,1.958,0.53,1.788,0.107,0.339,0.142,6.209,25.991,38.929,58.068,7.591
8/1/2020,WP,Single carcass,Scavenger exclusion,1.151,0.577,0.86,0.103,0.075,0.061,3.307,40.382,34.812,49.821,20.704
5/4/2021,WP,Single carcass,Scavenger exclusion,1.673,0.629,1.65,0.115,0.272,0.132,8.45,23.932,67.87,64.004,9.575
